1, car, 97%, 1316, 605, 306, 291
2, car, 99%, 1555, 649, 337, 252
3, car, 85%, 861, 623, 208, 302
4, car, 69%, 489, 865, 285, 213
5, car, 89%, 1236, 898, 340, 176
6, car, 97%, 208, 625, 270, 211
7, chair, 75%, 501, 866, 254, 211
8, motorcycle, 93%, 5, 868, 178, 186
9, motorcycle, 62%, 304, 889, 147, 190
10, car, 98%, 1353, 498, 178, 154
11, bus, 90%, 591, 340, 160, 163
12, car, 91%, 1172, 479, 144, 128
13, motorcycle, 70%, 389, 741, 96, 144
14, motorcycle, 98%, 1231, 740, 88, 128
15, car, 74%, 884, 397, 101, 109
16, car, 89%, 1170, 358, 111, 97
17, person, 92%, 500, 798, 74, 143
18, motorcycle, 98%, 1083, 712, 73, 132
19, motorcycle, 69%, 540, 730, 85, 110
20, car, 81%, 1020, 377, 96, 94
21, motorcycle, 88%, 783, 728, 65, 128
22, person, 96%, 1087, 667, 68, 119
23, person, 68%, 0, 693, 52, 126
24, person, 66%, 782, 702, 65, 101
25, person, 91%, 310, 843, 75, 86
26, motorcycle, 77%, 681, 796, 73, 86
27, bus, 86%, 784, 220, 95, 64
28, person, 82%, 495, 623, 56, 109
29, motorcycle, 70%, 1755, 345, 79, 76
30, person, 71%, 1125, 554, 54, 108
31, car, 83%, 907, 368, 78, 72
32, person, 97%, 1244, 684, 64, 87
33, motorcycle, 75%, 814, 636, 55, 98
34, person, 66%, 538, 650, 60, 81
35, person, 54%, 738, 549, 48, 99
36, motorcycle, 71%, 491, 683, 48, 91
37, person, 58%, 813, 590, 55, 71
38, person, 90%, 1807, 329, 55, 69
39, car, 85%, 1108, 327, 69, 55
40, car, 75%, 937, 332, 59, 62
41, motorcycle, 74%, 540, 507, 56, 65
42, motorcycle, 75%, 1134, 598, 45, 78
43, person, 59%, 1093, 472, 39, 84
44, motorcycle, 91%, 453, 415, 73, 42
45, person, 86%, 1334, 450, 39, 77
46, person, 58%, 492, 510, 44, 68
47, motorcycle, 55%, 1284, 493, 41, 70
48, person, 76%, 1284, 471, 40, 70
49, car, 72%, 1016, 307, 57, 49
50, motorcycle, 62%, 638, 618, 37, 73
51, car, 97%, 1317, 244, 67, 39
52, person, 53%, 759, 618, 47, 56
53, motorcycle, 70%, 904, 573, 46, 53
54, motorcycle, 73%, 880, 535, 37, 65
55, motorcycle, 69%, 636, 487, 38, 62
56, person, 55%, 1766, 346, 42, 55
57, motorcycle, 78%, 1661, 316, 51, 45
58, motorcycle, 92%, 1095, 503, 35, 65
59, person, 84%, 317, 589, 42, 52
60, motorcycle, 51%, 754, 477, 34, 60
61, motorcycle, 92%, 1335, 479, 35, 55
62, motorcycle, 69%, 1139, 403, 34, 57
63, person, 92%, 1397, 458, 39, 48
64, person, 71%, 1821, 279, 32, 54
65, person, 79%, 1515, 247, 30, 52
66, car, 84%, 880, 276, 41, 36
67, person, 69%, 1854, 272, 25, 56
68, motorcycle, 80%, 1503, 292, 32, 33
69, person, 83%, 1549, 252, 28, 36
70, person, 79%, 1603, 264, 27, 36
71, motorcycle, 57%, 1544, 269, 34, 29
72, car, 86%, 974, 240, 34, 27
73, car, 77%, 1284, 237, 30, 26
74, motorcycle, 70%, 757, 332, 20, 37
75, car, 63%, 748, 237, 30, 24
76, person, 56%, 1501, 240, 20, 33
77, car, 58%, 898, 228, 31, 21
78, motorcycle, 69%, 781, 311, 16, 31
79, motorcycle, 71%, 1407, 256, 19, 21
80, car, 61%, 1375, 231, 15, 18
